,link,metro,price_meter,index,desc,price,address,pub_datetime
1295,https://www.cian.ru/rent/flat/227497465/,Нахимовский проспект,Комм.платеживключены(безсчётчиков),1294,"1-комн. кв., 35 м², 1/12 этаж",35000/мес.,"Москва, ЮЗАО, р-н Зюзино, м. Нахимовский проспект, Сивашская улица, 4К1",2020-03-10 16:37:00
1294,https://www.cian.ru/rent/flat/227501604/,Кантемировская,Комм.платеживключены(безсчётчиков),1293,"1-комн. кв., 40 м², 12/22 этаж",35000/мес.,"Москва, ЮАО, р-н Москворечье-Сабурово, м. Кантемировская, Пролетарский проспект, 3",2020-03-10 17:32:00
1359,https://www.cian.ru/rent/flat/227501647/,Аэропорт,Комм.платеживключены(безсчётчиков),1358,"1-комн. кв., 43 м², 6/9 этаж",50000/мес.,"Москва, САО, р-н Аэропорт, м. Аэропорт, Красноармейская улица, 9",2020-03-10 17:34:00
1103,https://www.cian.ru/rent/flat/226675013/,Новогиреево,Комм.платеживключены(безсчётчиков),1102,"1-комн. кв., 38,8 м², 8/17 этаж",37000/мес.,"Москва, ВАО, р-н Вешняки, м. Новогиреево, Вешняковская улица, 14К1",2020-03-10 17:39:00
1448,https://www.cian.ru/rent/flat/156938119/,Селигерская,Комм.платеживключены(безсчётчиков),1447,"1-комн. кв., 39 м², 13/17 этаж",24000/мес.,"Москва, САО, р-н Восточное Дегунино, м. Селигерская, улица 800-летия Москвы, 24",2020-03-10 17:55:00
1411,https://www.cian.ru/rent/flat/225977365/,Бунинская аллея,Комм.платеживключены(безсчётчиков),1410,"1-комн. кв., 35 м², 3/9 этаж",22000/мес.,"Москва, НАО (Новомосковский), м. Бунинская аллея, Рязановское поселение, пос. Фабрики имени 1 Мая, 19",2020-03-10 22:25:00
1380,https://www.cian.ru/rent/flat/227514027/,Водный стадион,Комм.платеживключены(безсчётчиков),1379,"1-комн. кв., 33 м², 3/23 этаж",60000/мес.,"Москва, САО, р-н Войковский, м. Водный стадион, Выборгская улица, 7к1",2020-03-10 22:44:00
1453,https://www.cian.ru/rent/flat/226978193/,Комсомольская,Комм.платеживключены(безсчётчиков),1452,"1-комн. кв., 44 м², 7/14 этаж",24999/мес.,"Москва, ЗелАО, р-н Крюково, м. Комсомольская, Зеленоград, мкр. 14-й, к1407",2020-03-10 22:56:00
1238,https://www.cian.ru/rent/flat/203890042/,Митино,Комм.платеживключены(безсчётчиков),1237,"1-комн. кв., 38,5 м², 7/22 этаж",30000/мес.,"Москва, СЗАО, р-н Митино, м. Митино, Митинская улица, 40К1",2020-03-11 00:10:00
1264,https://www.cian.ru/rent/flat/227517516/,Ольховая,Комм.платеживключены(безсчётчиков),1263,"1-комн. кв., 35 м², 3/17 этаж",33000/мес.,"Москва, НАО (Новомосковский), м. Ольховая, пос. Коммунарка, Эдальго мкр, 2",2020-03-11 00:14:00
